"country","year","cost_healthy_diet_ppp_usd","data_quality","gdp","inflation","exchange_rate","agriculture_share","trade_share","population","urban_share","matched_wdi"
"Kazakhstan",2019,2.28,"Estimated value",33298.21237,7.633286237,382.7473106,4.466335958,64.85861655,19209555,59.08324743,TRUE
"Kazakhstan",2020,2.43,"Estimated value",32011.54915,4.210858293,412.9533333,5.391282693,57.02644237,19482117,59.98711935,TRUE
"Kazakhstan",2021,2.59,"Estimated value",32945.85157,13.93007506,425.9075,5.03000194,58.66860858,19743603,61.03025428,TRUE
"Kazakhstan",2022,2.88,"Estimated value",33506.26149,19.76900648,460.165,5.247144807,68.33431474,20034609,61.44415733,TRUE
"Kazakhstan",2023,3.02,"Estimated value",34703.23493,9.522246883,456.165,3.825003114,62.33428377,20330104,61.75609195,TRUE
"Kazakhstan",2024,3.06,"Estimated value",35973.96333,8.993316349,468.9625,3.882291517,57.1613432,20592571,62.07253158,TRUE
"Malaysia",2017,3.1,"Estimated value",29551.54576,3.778960943,4.300440878,8.598277535,133.1551734,32355644,74.23548064,TRUE
"Malaysia",2018,3.2,"Estimated value",30459.96553,0.624674675,4.035130137,7.512056931,130.4026255,32910967,74.56346251,TRUE
"Malaysia",2019,3.3,"Estimated value",31300.50866,0.071826909,4.142469736,7.241314016,123.028562,33440596,74.83777077,TRUE
"Malaysia",2020,3.43,"Estimated value",29200.45263,-0.818007729,4.203481949,8.165970899,116.7881824,33889558,75.05118956,TRUE
"Malaysia",2021,3.52,"Estimated value",29822.84918,5.675938488,4.143297598,9.566214588,134.0359947,34282399,75.50886282,TRUE
"Malaysia",2022,3.89,"Estimated value",32129.22178,6.296299503,4.401076345,8.961849227,146.4246048,34695493,75.97413571,TRUE
"Malaysia",2023,4.15,"Estimated value",32857.66766,-1.848983736,4.560623432,7.765309321,132.5934616,35126298,76.44347521,TRUE
"Malaysia",2024,4.27,"Estimated value",34116.23178,0.790157556,4.576427911,8.128467822,137.3625712,35557673,76.91702966,TRUE
"Mexico",2017,2.9,"Estimated value",21777.52251,6.567594911,18.92651667,3.297511776,76.95212604,123400057,77.72069246,TRUE
"Mexico",2018,2.97,"Estimated value",21997.77302,5.204499975,19.24434167,3.296959451,80.21266165,124573711,78.02712239,TRUE
"Mexico",2019,2.98,"Estimated value",21704.18595,4.319010236,19.26363333,3.315024403,77.46197225,125762982,78.35598433,TRUE
"Mexico",2020,3.07,"Estimated value",19728.48178,4.619790125,21.48560833,3.711148882,76.85455572,126799054,78.6779606,TRUE
"Mexico",2021,3.27,"Estimated value",20782.58774,4.487972743,20.27240833,3.782665286,83.06929763,127648148,78.93240074,TRUE
"Mexico",2022,3.85,"Estimated value",21391.85737,6.666649468,20.12735,3.898065712,88.79848559,128613117,79.19968322,TRUE
"Mexico",2023,4.2,"Estimated value",21864.92361,4.676374048,17.75871667,3.845697586,73.73907583,129739759,79.47349357,TRUE
"Mexico",2024,4.41,"Estimated value",21970.35204,3.746627359,18.30485833,3.869448464,75.42590154,130861007,79.7538806,TRUE
"Peru",2017,3.25,"Estimated value",15067.48928,3.615658261,3.260488491,6.77975956,47.51355036,31324637,82.19316505,TRUE
"Peru",2018,3.19,"Estimated value",15384.18461,2.277415318,3.286602698,6.885842851,48.63147017,31897584,82.685493,TRUE
"Peru",2019,3.24,"Estimated value",15461.45726,1.872216268,3.337265547,6.853031035,46.94350538,32449303,83.10330031,TRUE
"Peru",2020,3.34,"Estimated value",13607.76407,3.719171197,3.494941198,7.715846373,44.2459672,32838579,83.52674372,TRUE
"Peru",2021,3.5,"Estimated value",15285.77069,10.04866758,3.880554131,7.120231373,55.40832319,33155882,83.94801183,TRUE
"Peru",2022,3.94,"Estimated value",15566.52426,4.512672929,3.835181375,7.171122734,57.27270031,33475438,84.3663555,TRUE
"Peru",2023,4.3,"Estimated value",15342.27414,6.658621328,3.74382621,7.223159554,50.90703072,33845617,84.78102558,TRUE
"Peru",2024,4.34,"Estimated value",15708.83294,5.438593723,3.7525,7.471210843,51.68114799,34217848,85.19127296,TRUE
"Philippines",2017,3.26,"Estimated value",8584.136227,2.320259946,50.40371979,10.18295413,68.16836974,108119693,52.60104824,TRUE
"Philippines",2018,3.4,"Estimated value",9016.286596,3.74065383,52.66142995,9.650140358,72.1633983,109465287,53.20888975,TRUE
"Philippines",2019,3.47,"Estimated value",9452.293972,0.697076297,51.79578265,8.820323747,68.84184226,110804683,53.71578599,TRUE
"Philippines",2020,3.55,"Estimated value",8455.184571,1.650490187,49.624096,10.18531103,58.1695603,112081264,54.10777199,TRUE
"Philippines",2021,3.73,"Estimated value",8857.789951,2.282478463,49.25459773,10.06916402,63.48460981,113100950,54.45041025,TRUE
"Philippines",2022,3.97,"Estimated value",9457.103954,5.488648202,54.47778584,9.551768044,72.42968361,113964338,54.79023436,TRUE
"Philippines",2023,4.21,"Estimated value",9898.532946,4.601433071,55.63036322,9.400366529,67.41996932,114891199,55.12427162,TRUE
