"variable","observations","mean","sd","minimum","maximum"
"cost_healthy_diet_ppp_usd",96,3.71677083333333,0.792802483919401,2.12,6.38
"gdp",96,18109.507967875,7507.76470223142,7116.036592,35973.96333
"inflation",96,5.80592812684375,5.83321713102291,-1.848983736,33.69150422
"exchange_rate",96,1572.93334692102,4073.75895509799,3.191389446,15855.44829
"agriculture_share",96,8.23687878770833,4.09206250743643,1.950321145,18.66853766
"trade_share",96,63.4315253994792,31.6465499609057,24.31973437,146.4246048
"population",96,209210979.020833,370414550.264557,18651931,1450935791
"urban_share",96,64.2706245186458,15.9853975302814,33.18213282,87.89585495
